unidentifiable	x/nY/dEn/tI/fY/x/bxl
impossibility	Im/pa/sx/bI/lI/ti
czechoslovakia's	CE/kx/slx/va/ki/xz
uncomfortable	xn/k^m/fR/tx/bxl
understandable	^n/dR/st@n/dx/bxl
unfortunately	xn/fcr/CI/nIt/li
investigator	In/vEs/tI/ge/tR
antibiotic	@n/tI/bY/a/tIk
antibiotics	@n/tI/bY/a/tIks
independently	In/dI/pEn/dInt/li
individual	In/dI/vI/Ju/xl
indestructible	In/dIs/tr^k/tx/bxl
accidentally	@k/sI/dEn/tx/li
particularly	pR/tI/kyx/lR/li
personality	pR/sI/n@/lI/ti
cooperating	ko/a/px/re/tIG
coordination	ko/cr/dI/ne/SIn
electricity	x/lEk/trI/sI/ti
electronically	^/lEk/tra/nI/kli
photosynthesis	fo/to/sIn/Tx/sIs
cooperative	ko/a/px/rI/tIv
opportunity	a/pR/tu/nI/ti
electrocuted	x/lEk/trx/kyu/tId
regurgitated	rI/gR/JI/te/tId
immediately	I/mi/di/It/li
disobedient	dI/sx/bi/di/Int
communication	kx/myu/nI/ke/SIn
hippopotamus	hI/px/pa/tx/mxs
refrigerator	rI/frI/Jx/re/tR
telemarketing	tE/lx/mar/kI/tIG
anniversary	@/nI/vR/sx/ri
nickelodeon	nI/kx/lo/di/In
imagination	I/m@/JI/ne/SIn
animosity	@/nI/ma/sI/ti
disinfected	dI/sIn/fEk/tId
inexpensive	I/nEks/pEn/sIv
concentrating	kan/sIn/tre/tIG
condensation	kan/dIn/se/SIn
conversation	kan/vR/se/SIn
entertaining	E/nR/te/nIG
exercises	Ek/sR/sY/zIz
exercising	Ek/sR/sY/zIG
expectations	Ek/spEk/te/SInz
masterpieces	m@/stR/pi/sIz
overflowing	o/vR/flo/IG
entertainment	E/nR/ten/mInt
acceptable	Ek/sEp/tx/bxl
extinguisher	Eks/tIG/gwI/SR
unfortunate	xn/fcr/CI/nIt
overzealous	o/vR/zE/lxs
successfully	sxk/sEs/fx/li
wonderfully	w^n/dR/fx/li
investigate	In/vEs/tI/get
unorganized	x/ncr/gx/nYzd
obviously	ab/vi/I/sli
antisocial	@n/ti/so/Sxl
tasmanian	t@z/me/ni/In
portfolio	port/fo/li/o
malnutrition	m@l/nx/trI/SIn
multicolored	m^l/ti/k^/lRd
actually	@k/Cu/x/li
independent	In/dI/pEn/dInt
infrastructures	In/frx/str^k/CRz
interested	In/tx/rE/stId
interesting	In/tx/rE/stIG
orthodontic	cr/Tx/dan/tIk
orthodontics	cr/Tx/dan/tIks
orthodontist	cr/Tx/dan/tIst
improperly	Im/pra/pR/li
accidently	@k/sI/dEnt/li
congratulate	kxn/gr@/Cx/let
experience	Eks/pI/ri/Ins
ulterior	xl/tI/ri/R
activator	@k/tI/ve/tR
aspirated	@/spI/re/tId
calculator	k@l/kyx/le/tR
circulation	sR/kyx/le/SIn
combination	kam/bI/ne/SIn
complicated	kam/plI/ke/tId
complication	kam/plI/ke/SIn
dandelion	d@n/dx/lY/In
explanation	Eks/plx/ne/SIn
formulated	fcr/myx/le/tId
invitation	In/vI/te/SIn
perspiration	pRs/px/re/SIn
bacteria	b@k/tI/ri/x
victoria	vIk/to/ri/x
absolutely	@b/sx/lut/li
asparagus	xs/p@/rx/gxs
certificate	sR/tI/fI/kIt
conditioner	kxn/dI/SI/nR
conditioning	kxn/dI/SI/nIG
considerate	kxn/sI/dx/rIt
considering	kxn/sI/dx/rIG
discoverer	dIs/k^/vx/rR
experiment	Eks/pE/rI/mInt
impossible	Im/pa/sx/bxl
incredible	In/krE/dx/bxl
invisible	In/vI/zx/bxl
particular	pR/tI/kyx/lR
thermometer	TR/ma/mx/tR
uncovering	xn/k^/vx/rIG
unlimited	xn/lI/mI/tId
altogether	cl/tx/gE/DR
disposition	dIs/px/zI/SIn
expedition	Ek/spx/dI/SIn
activity	@k/tI/vI/ti
conspiracy	kxn/spI/rI/si
discovery	dIs/k^/vx/ri
incredibly	In/krE/dx/bli
infinity	In/fI/nI/ti
ordinary	crd/nx/ri
armadillo	ar/mx/dI/lo
dictionary	dIk/SI/nE/ri
participate	par/tI/sI/pet
angelica	@n/JE/lI/kx
cinderella	sIn/dx/rE/lx
harmonica	har/ma/nI/kx
motorcycle	mo/tR/sY/kxl
electrician	E/lxk/trI/SIn
priority	prY/c/rI/ti
identify	Y/dEn/tI/fY
coordinate	ko/cr/dI/net
ecosystem	i/ko/sI/stxm
radiator	re/di/e/tR
obedient	o/bi/di/Int
dehydrated	di/hY/dre/tId
okeydokey	o/ki/do/ki
roly+poly	ro/li/po/li
baby+sitter	be/bi/sI/tR
resealable	ri/si/lx/bxl
triangular	trY/@G/gyx/lR
universal	yu/nI/vR/sxl
unicycle	ju/nI/saI/kl
nigerians	nY/JI/ri/Inz
diarrhea	dY/x/ri/x
olivia	o/lI/vi/x
rearranging	ri/x/ren/JIG
photogenic	fo/tx/JE/nIk
photographic	fo/tx/gr@/fIk
robitussin	ro/bI/t^/sIn
binoculars	bY/na/kyx/lRz
nutritional	nu/trI/SI/nxl
rhinoceros	rY/na/sx/rxs
cooperate	ko/a/px/ret
alexander	@/lIg/z@n/dR
alexander's	@/lIg/z@n/dRz
emergency	I/mR/JIn/si
accordion	x/kcr/di/In
satisfying	s@/tIs/fY/IG
adjustable	x/J^/stx/bxl
electrical	x/lEk/trI/kxl
reversible	rI/vR/sx/bxl
cholesterol	kx/lEs/tx/rcl
caterpillar	k@/tR/pI/lR
caterpillars	k@/tR/pI/lRz
watermelon	wc/tR/mE/lxn
